,date1,date2,date_diff,ncc
148,2019-02-25 22:15:59.024,2021-01-30 22:16:01.024,705,0.9273334134097231
149,2019-02-25 22:15:59.024,2021-02-19 22:16:01.024,725,0.6935091011508155
150,2019-02-25 22:15:59.024,2021-03-16 22:16:09.024,750,0.9148397960583153
151,2019-02-25 22:15:59.024,2021-07-24 22:16:09.024,880,0.5952272354933275
152,2019-02-25 22:15:59.024,2021-08-23 22:15:59.024,910,0.7176680252454752
153,2019-02-25 22:15:59.024,2021-09-02 22:15:59.024,920,0.820234537236736
157,2019-03-02 22:16:01.024,2020-02-25 22:16:01.024,360,0.7910363808141789
158,2019-03-02 22:16:01.024,2020-03-11 22:15:59.024,374,0.5237237734046094
159,2019-03-02 22:16:01.024,2020-04-10 22:15:59.024,404,0.8835088872459168
160,2019-03-02 22:16:01.024,2020-04-25 22:16:11.024,420,0.7481476712256688
161,2019-03-02 22:16:01.024,2020-05-20 22:16:09.024,445,0.6855501040970783
162,2019-03-02 22:16:01.024,2020-07-09 22:16:09.024,495,0.24466948675218575
163,2019-03-02 22:16:01.024,2020-08-03 22:16:11.024,520,0.6116052763256694
164,2019-03-02 22:16:01.024,2020-09-07 22:16:09.024,555,0.8637338431082633
165,2019-03-02 22:16:01.024,2021-01-25 22:16:09.024,695,0.49348949237871537
166,2019-03-02 22:16:01.024,2021-01-30 22:16:01.024,700,0.9293858595866852
167,2019-03-02 22:16:01.024,2021-02-19 22:16:01.024,720,0.6868257590862622
168,2019-03-02 22:16:01.024,2021-03-16 22:16:09.024,745,0.9190259340950829
169,2019-03-02 22:16:01.024,2021-07-24 22:16:09.024,875,0.6052078282464145
170,2019-03-02 22:16:01.024,2021-08-23 22:15:59.024,904,0.7455665912643673
171,2019-03-02 22:16:01.024,2021-09-02 22:15:59.024,914,0.8389236562701898
181,2019-10-03 22:15:59.024,2020-09-07 22:16:09.024,340,0.5733590554175771
182,2019-10-03 22:15:59.024,2021-01-25 22:16:09.024,480,0.3149570602746827
183,2019-10-03 22:15:59.024,2021-01-30 22:16:01.024,485,0.5368756985764868
184,2019-10-03 22:15:59.024,2021-02-19 22:16:01.024,505,0.3914464478028921
185,2019-10-03 22:15:59.024,2021-03-16 22:16:09.024,530,0.5373618304593121
186,2019-10-03 22:15:59.024,2021-07-24 22:16:09.024,660,0.3786068222577332
187,2019-10-03 22:15:59.024,2021-08-23 22:15:59.024,690,0.5915757977700276
188,2019-10-03 22:15:59.024,2021-09-02 22:15:59.024,700,0.5878812037311312
198,2019-11-02 22:16:09.024,2021-01-25 22:16:09.024,450,0.4919017125446946
199,2019-11-02 22:16:09.024,2021-01-30 22:16:01.024,454,0.9014641832491658
200,2019-11-02 22:16:09.024,2021-02-19 22:16:01.024,474,0.7298914943902394
201,2019-11-02 22:16:09.024,2021-03-16 22:16:09.024,500,0.8850612046909399
202,2019-11-02 22:16:09.024,2021-07-24 22:16:09.024,630,0.6015200329944288
203,2019-11-02 22:16:09.024,2021-08-23 22:15:59.024,659,0.7380706686559115
204,2019-11-02 22:16:09.024,2021-09-02 22:15:59.024,669,0.835640350406755
213,2020-01-11 22:15:59.024,2021-01-25 22:16:09.024,380,0.4886573050140306
214,2020-01-11 22:15:59.024,2021-01-30 22:16:01.024,385,0.9496377548652386
215,2020-01-11 22:15:59.024,2021-02-19 22:16:01.024,405,0.6958732792583634
216,2020-01-11 22:15:59.024,2021-03-16 22:16:09.024,430,0.8920572948429617
217,2020-01-11 22:15:59.024,2021-07-24 22:16:09.024,560,0.5603117664131262
218,2020-01-11 22:15:59.024,2021-08-23 22:15:59.024,590,0.6828967281785222
219,2020-01-11 22:15:59.024,2021-09-02 22:15:59.024,600,0.7835132810669423
227,2020-02-25 22:16:01.024,2021-01-25 22:16:09.024,335,0.39591185876773166
228,2020-02-25 22:16:01.024,2021-01-30 22:16:01.024,340,0.7839935834178968
229,2020-02-25 22:16:01.024,2021-02-19 22:16:01.024,360,0.5821525899187078
230,2020-02-25 22:16:01.024,2021-03-16 22:16:09.024,385,0.7744347253836193
231,2020-02-25 22:16:01.024,2021-07-24 22:16:09.024,515,0.518045040883595
